date,product,category,quantity,unit_price,unit_cost
2026-02-18,Keyboard,Electronics,4,46.98,21.97
2026-07-14,Water Bottle,Home,8,20.58,7.99
2026-07-22,Wireless Mouse,Electronics,2,23.97,11.89
2026-03-04,Desk Lamp,Home,6,34.81,17.05
2026-04-19,Headphones,Electronics,6,67.93,37.82
2026-03-20,Desk Lamp,Home,4,32.34,16.48
2026-01-31,Headphones,Electronics,3,65.68,38.91
2026-03-12,Coffee Mug,Home,5,15.35,6.2
2026-03-17,Water Bottle,Home,6,18.72,7.61
2026-05-17,USB-C Cable,Accessories,5,13.64,4.78
2026-03-16,USB-C Cable,Accessories,8,13.81,4.76
2026-03-14,Phone Stand,Accessories,8,17.79,6.78
2026-01-14,Desk Lamp,Home,8,32.3,16.26
2026-05-06,Keyboard,Electronics,1,41.87,22.68
2026-08-31,Desk Lamp,Home,2,38.46,16.35
2026-07-15,Backpack,Bags,4,58.03,27.67
2026-08-21,Phone Stand,Accessories,5,19.3,7.34
2026-03-20,Coffee Mug,Home,1,14.31,6.14
2026-08-31,Water Bottle,Home,4,19.06,7.66
2026-03-03,USB-C Cable,Accessories,2,13.97,4.95
2026-06-26,Coffee Mug,Home,8,13.42,5.84
2026-06-30,Desk Lamp,Home,8,32.0,16.55
2026-03-09,Coffee Mug,Home,4,13.79,6.03
2026-06-15,USB-C Cable,Accessories,5,15.98,4.79
2026-02-12,Desk Lamp,Home,5,34.57,16.95
2026-03-19,Backpack,Bags,5,55.01,27.98
2026-01-21,Coffee Mug,Home,1,15.09,6.14
2026-06-04,Desk Lamp,Home,1,32.14,17.79
2026-08-03,Coffee Mug,Home,1,15.4,6.1
2026-03-10,Coffee Mug,Home,1,14.74,5.81
2026-05-13,Phone Stand,Accessories,5,16.85,7.06
2026-06-12,Phone Stand,Accessories,2,17.89,6.94
2026-03-24,Keyboard,Electronics,3,43.47,22.43
2026-03-15,Backpack,Bags,1,54.5,27.48
2026-03-24,Keyboard,Electronics,7,48.28,22.71
2026-01-01,Headphones,Electronics,8,68.79,36.81
2026-04-03,Coffee Mug,Home,8,14.35,6.16
2026-02-22,Desk Lamp,Home,3,37.99,16.89
2026-06-28,Phone Stand,Accessories,2,16.3,7.09
2026-07-24,Water Bottle,Home,3,19.24,7.61
2026-04-15,Keyboard,Electronics,4,49.43,22.91
2026-04-29,Keyboard,Electronics,3,44.99,22.48
2026-05-11,Desk Lamp,Home,7,37.34,17.82
2026-03-04,Phone Stand,Accessories,3,17.58,7.3
2026-05-11,USB-C Cable,Accessories,2,14.33,5.15
2026-04-17,Notebook,Stationery,5,8.51,2.93
2026-03-18,Coffee Mug,Home,8,15.02,5.97
2026-05-04,Notebook,Stationery,6,8.08,3.01
2026-04-27,Notebook,Stationery,4,8.77,2.92
2026-04-09,Water Bottle,Home,7,18.17,8.2
2026-06-30,Backpack,Bags,7,60.37,28.82
2026-06-16,USB-C Cable,Accessories,8,16.39,4.81
2026-06-01,Notebook,Stationery,2,8.6,2.98
2026-05-15,Phone Stand,Accessories,1,18.8,6.94
2026-06-17,USB-C Cable,Accessories,2,14.91,5.23
2026-03-28,Coffee Mug,Home,7,14.42,6.21
2026-08-07,Headphones,Electronics,7,76.36,38.48
2026-08-16,Phone Stand,Accessories,1,18.42,6.81
2026-06-25,Desk Lamp,Home,4,36.73,16.89
2026-01-26,Keyboard,Electronics,8,42.0,21.56
2026-01-08,Wireless Mouse,Electronics,6,26.48,11.75
2026-04-06,Backpack,Bags,3,52.19,27.75
2026-06-24,USB-C Cable,Accessories,3,14.03,5.05
2026-04-08,Coffee Mug,Home,4,13.99,6.05
2026-03-01,Phone Stand,Accessories,5,17.85,7.12
2026-08-19,Phone Stand,Accessories,5,18.64,6.76
2026-04-24,Notebook,Stationery,5,8.22,2.98
2026-03-06,Phone Stand,Accessories,5,16.92,6.92
2026-05-04,Keyboard,Electronics,4,43.93,21.69
2026-03-17,Desk Lamp,Home,1,38.35,17.27
2026-03-12,Wireless Mouse,Electronics,1,27.05,12.29
2026-08-02,Desk Lamp,Home,4,35.75,16.75
2026-06-12,Water Bottle,Home,5,20.71,8.18
2026-06-18,USB-C Cable,Accessories,2,16.21,5.07
2026-03-21,Phone Stand,Accessories,1,18.29,7.16
2026-01-24,Desk Lamp,Home,6,36.73,16.45
2026-02-03,Headphones,Electronics,6,70.43,39.57
2026-08-01,USB-C Cable,Accessories,5,16.24,5.22
2026-07-26,Desk Lamp,Home,6,37.13,16.95
2026-01-20,USB-C Cable,Accessories,4,16.08,5.11
2026-04-12,Headphones,Electronics,6,64.26,37.6
2026-03-09,Headphones,Electronics,2,69.37,38.66
2026-06-22,Desk Lamp,Home,7,37.26,17.75
2026-01-28,Water Bottle,Home,8,18.1,8.31
2026-05-24,Notebook,Stationery,4,8.24,3.04
2026-04-29,Desk Lamp,Home,7,32.32,16.23
2026-01-10,Desk Lamp,Home,8,32.31,16.55
2026-05-18,USB-C Cable,Accessories,7,14.86,5.09
2026-07-10,Headphones,Electronics,7,71.22,38.86
2026-08-15,Backpack,Bags,2,58.67,28.32
2026-08-29,Desk Lamp,Home,1,36.33,16.52
2026-04-24,Water Bottle,Home,6,18.4,8.15
2026-05-20,Notebook,Stationery,1,7.84,2.91
2026-02-01,Phone Stand,Accessories,2,18.59,7.1
2026-06-02,Wireless Mouse,Electronics,1,26.43,11.69
2026-02-02,Coffee Mug,Home,4,12.79,6.16
2026-02-23,Coffee Mug,Home,4,14.88,5.84
2026-07-18,USB-C Cable,Accessories,1,14.33,5.24
2026-02-03,Headphones,Electronics,5,74.18,36.52
2026-08-10,Wireless Mouse,Electronics,3,22.57,12.35
2026-03-02,Coffee Mug,Home,6,12.64,5.86
2026-02-02,Backpack,Bags,2,57.7,27.93
2026-07-19,Notebook,Stationery,2,7.92,2.92
2026-06-07,Wireless Mouse,Electronics,5,24.79,12.56
2026-01-16,Phone Stand,Accessories,7,17.73,6.73
2026-07-02,Phone Stand,Accessories,2,19.44,6.88
2026-02-07,Keyboard,Electronics,3,42.98,22.29
2026-05-21,Notebook,Stationery,7,8.79,3.01
2026-04-27,Headphones,Electronics,7,64.39,38.77
2026-08-07,Headphones,Electronics,4,69.02,39.47
2026-04-16,Notebook,Stationery,8,7.84,3.07
2026-03-22,Backpack,Bags,6,56.82,27.65
2026-02-09,Phone Stand,Accessories,2,16.53,6.71
2026-04-21,Keyboard,Electronics,6,47.81,22.12
2026-05-31,Headphones,Electronics,6,72.38,37.66
2026-08-12,Backpack,Bags,1,60.15,28.28
2026-04-01,Keyboard,Electronics,4,41.89,21.96
2026-08-05,Keyboard,Electronics,6,48.11,21.71
2026-07-15,Desk Lamp,Home,4,37.15,17.59
2026-07-16,Coffee Mug,Home,1,14.31,6.09
2026-06-27,Desk Lamp,Home,1,32.76,17.34
2026-03-21,Notebook,Stationery,6,7.21,3.11
2026-05-25,Backpack,Bags,2,51.06,28.37
2026-01-08,Keyboard,Electronics,4,43.89,21.9
2026-02-10,Notebook,Stationery,5,8.35,3.08
2026-05-26,Coffee Mug,Home,2,15.07,5.79
2026-07-13,Coffee Mug,Home,1,14.49,5.86
2026-06-19,Backpack,Bags,8,56.18,27.76
2026-02-25,Headphones,Electronics,2,67.83,36.52
2026-06-23,Coffee Mug,Home,8,14.08,5.89
2026-02-26,Backpack,Bags,1,49.58,27.44
2026-02-24,USB-C Cable,Accessories,5,14.37,4.81
2026-05-08,Backpack,Bags,3,50.92,28.09
2026-02-28,Headphones,Electronics,6,64.01,39.37
2026-01-11,Backpack,Bags,1,54.56,26.82
2026-03-22,Coffee Mug,Home,7,14.21,6.13
2026-04-17,Desk Lamp,Home,2,34.34,17.79
2026-02-13,Coffee Mug,Home,8,14.93,6.25
2026-01-23,Backpack,Bags,2,52.18,28.25
2026-05-15,Keyboard,Electronics,7,48.33,22.54
2026-02-26,Notebook,Stationery,3,7.32,3.04
2026-05-16,Headphones,Electronics,4,75.68,37.43
2026-07-06,USB-C Cable,Accessories,4,13.81,4.88
2026-02-14,Coffee Mug,Home,3,14.73,6.09
2026-02-15,Phone Stand,Accessories,8,18.92,7.18
2026-04-25,Coffee Mug,Home,6,15.02,6.08
2026-02-08,Phone Stand,Accessories,2,17.89,7.09
2026-07-23,Desk Lamp,Home,1,33.96,16.28
2026-04-29,Phone Stand,Accessories,1,16.4,7.23
2026-01-20,Keyboard,Electronics,7,44.66,22.12
2026-07-22,Wireless Mouse,Electronics,8,27.05,12.09
2026-02-18,Notebook,Stationery,8,8.0,3.14
2026-04-26,Keyboard,Electronics,6,49.34,21.09
2026-06-15,USB-C Cable,Accessories,1,14.24,4.97
2026-04-23,Headphones,Electronics,3,68.09,39.59
2026-04-10,Backpack,Bags,6,56.97,26.75
2026-06-11,Notebook,Stationery,2,7.73,3.02
2026-04-09,Desk Lamp,Home,5,36.57,17.27
2026-08-21,Coffee Mug,Home,3,13.53,6.05
2026-02-06,Notebook,Stationery,5,8.75,3.06
2026-04-11,USB-C Cable,Accessories,2,14.43,4.94
2026-07-22,Notebook,Stationery,3,8.27,3.1
2026-07-09,Headphones,Electronics,2,72.04,37.71
2026-04-03,Wireless Mouse,Electronics,6,24.04,12.54
2026-03-29,Phone Stand,Accessories,4,17.02,6.75
2026-01-20,Desk Lamp,Home,2,35.05,17.07
2026-07-09,Headphones,Electronics,1,72.27,39.43
2026-06-08,USB-C Cable,Accessories,7,13.96,4.84
2026-06-27,Coffee Mug,Home,3,14.62,5.73
2026-04-04,Water Bottle,Home,8,20.44,8.2
2026-07-20,Phone Stand,Accessories,4,18.12,6.87
2026-07-27,Phone Stand,Accessories,4,17.52,7.31
2026-04-23,Phone Stand,Accessories,5,19.0,7.0
2026-04-18,USB-C Cable,Accessories,4,15.9,4.82
2026-03-06,Wireless Mouse,Electronics,8,26.87,12.07
2026-01-27,Headphones,Electronics,2,66.99,39.0
2026-03-11,Phone Stand,Accessories,3,19.19,6.71
2026-08-22,Water Bottle,Home,8,21.54,8.34
2026-04-17,Wireless Mouse,Electronics,7,25.01,11.68
2026-01-21,Notebook,Stationery,4,7.25,3.13
2026-08-03,Notebook,Stationery,3,7.42,2.94
2026-08-01,Phone Stand,Accessories,3,18.93,6.98
2026-06-07,Wireless Mouse,Electronics,2,22.6,11.66
2026-02-08,Headphones,Electronics,7,64.56,37.19
2026-03-19,Keyboard,Electronics,1,42.65,22.31
2026-06-09,Phone Stand,Accessories,2,16.6,7.28
2026-06-02,Headphones,Electronics,1,71.85,38.29
2026-07-03,USB-C Cable,Accessories,5,14.79,5.06
2026-03-03,Coffee Mug,Home,7,13.12,6.1
2026-05-15,Notebook,Stationery,2,8.73,3.01
2026-07-21,Headphones,Electronics,1,68.47,37.89
2026-06-12,Backpack,Bags,6,52.29,26.65
2026-07-21,Keyboard,Electronics,6,42.67,22.35
2026-01-27,Coffee Mug,Home,6,12.97,5.91
2026-03-28,USB-C Cable,Accessories,8,16.44,4.99
2026-02-16,USB-C Cable,Accessories,2,15.65,5.22
2026-01-10,Desk Lamp,Home,4,31.81,16.49
2026-01-11,Notebook,Stationery,5,8.02,3.15
2026-05-20,Phone Stand,Accessories,5,16.33,7.1
2026-03-15,Notebook,Stationery,1,8.59,2.95
2026-02-01,Notebook,Stationery,7,8.62,3.07
2026-08-18,Backpack,Bags,6,60.21,27.99
2026-05-08,Notebook,Stationery,5,8.48,3.07
2026-01-21,Backpack,Bags,3,55.5,27.5
2026-01-21,Notebook,Stationery,5,7.69,3.03
2026-04-20,USB-C Cable,Accessories,8,14.55,4.77
2026-08-11,Notebook,Stationery,7,7.64,3.14
2026-08-31,Wireless Mouse,Electronics,2,25.86,11.89
2026-05-12,USB-C Cable,Accessories,1,13.93,5.05
2026-07-20,Phone Stand,Accessories,1,16.65,6.82
2026-06-15,Notebook,Stationery,6,7.81,3.02
2026-06-04,USB-C Cable,Accessories,8,16.35,4.94
2026-07-15,Keyboard,Electronics,3,45.27,21.78
2026-06-16,Desk Lamp,Home,4,38.22,16.19
2026-02-17,Phone Stand,Accessories,7,19.49,6.73
2026-07-18,Desk Lamp,Home,8,33.0,17.19
2026-06-27,Phone Stand,Accessories,4,16.64,7.25
2026-04-26,USB-C Cable,Accessories,8,16.49,5.16
2026-08-05,Notebook,Stationery,6,8.34,3.01
2026-03-16,Desk Lamp,Home,3,36.48,17.73
2026-06-13,USB-C Cable,Accessories,6,15.03,4.81
2026-02-21,USB-C Cable,Accessories,4,15.87,4.76
2026-05-22,Coffee Mug,Home,6,13.91,6.29
2026-02-03,Coffee Mug,Home,2,12.78,5.94
2026-07-03,Phone Stand,Accessories,7,18.97,7.23
2026-01-19,USB-C Cable,Accessories,6,15.43,4.97
2026-06-24,Headphones,Electronics,6,64.8,39.25
2026-05-22,Coffee Mug,Home,3,14.75,5.78
2026-05-09,Wireless Mouse,Electronics,2,25.09,11.76
2026-02-11,Notebook,Stationery,4,7.75,3.13
2026-08-18,Desk Lamp,Home,2,33.25,17.23
2026-05-22,Desk Lamp,Home,3,35.88,17.19
2026-01-24,Headphones,Electronics,3,71.29,38.31
2026-02-13,Coffee Mug,Home,6,14.96,6.04
2026-07-31,Wireless Mouse,Electronics,2,22.73,12.17
2026-05-28,Desk Lamp,Home,4,36.87,16.86
2026-06-13,Wireless Mouse,Electronics,8,26.94,12.05
2026-06-14,Desk Lamp,Home,8,33.21,17.52
2026-04-14,Desk Lamp,Home,8,32.01,16.25
2026-04-23,Backpack,Bags,8,54.61,27.55
2026-02-06,Notebook,Stationery,6,8.37,3.11
2026-04-13,USB-C Cable,Accessories,6,15.04,4.8
2026-03-03,Phone Stand,Accessories,2,17.16,6.82
2026-01-25,Wireless Mouse,Electronics,5,27.23,12.44
2026-04-18,Water Bottle,Home,3,21.25,8.35
2026-07-04,Notebook,Stationery,4,8.42,3.0
2026-05-12,Phone Stand,Accessories,8,19.36,7.0
2026-01-24,Backpack,Bags,8,60.13,27.2
2026-04-01,Wireless Mouse,Electronics,1,23.91,12.12
2026-08-04,Phone Stand,Accessories,5,18.13,7.24
2026-04-21,USB-C Cable,Accessories,5,15.68,5.13
2026-04-04,Wireless Mouse,Electronics,7,22.76,12.07
2026-04-03,Headphones,Electronics,5,64.03,38.02
2026-07-15,Headphones,Electronics,5,74.55,38.47
2026-06-06,Keyboard,Electronics,3,49.28,21.77
2026-07-23,Notebook,Stationery,6,8.41,2.91
2026-05-11,Backpack,Bags,1,50.0,26.98
2026-03-27,Phone Stand,Accessories,8,16.74,7.28
2026-02-05,Notebook,Stationery,6,7.46,3.15
2026-07-09,Desk Lamp,Home,6,35.05,17.02
2026-05-06,Coffee Mug,Home,5,13.93,5.71
2026-03-26,Keyboard,Electronics,7,45.75,22.65
2026-07-05,Wireless Mouse,Electronics,8,23.83,12.19
2026-07-18,Coffee Mug,Home,4,14.62,6.05
2026-02-13,Headphones,Electronics,7,65.07,38.69
2026-01-09,Coffee Mug,Home,2,13.13,5.96
2026-04-18,USB-C Cable,Accessories,7,15.57,4.96
2026-07-18,Coffee Mug,Home,8,15.04,6.14
2026-01-16,USB-C Cable,Accessories,4,15.18,5.25
2026-05-03,Headphones,Electronics,7,67.39,36.76
2026-08-22,Headphones,Electronics,6,70.65,38.67
2026-08-11,Desk Lamp,Home,8,32.85,16.57
2026-05-23,Desk Lamp,Home,4,38.09,17.82
2026-07-17,Desk Lamp,Home,4,36.33,16.98
2026-05-03,Notebook,Stationery,5,7.66,3.02
2026-05-20,Backpack,Bags,7,58.5,29.27
2026-07-25,USB-C Cable,Accessories,5,13.63,5.23
2026-01-21,Notebook,Stationery,8,8.25,3.07
2026-02-24,Water Bottle,Home,5,21.73,8.16
2026-02-05,Keyboard,Electronics,4,42.68,22.37
2026-05-16,Water Bottle,Home,4,18.21,7.93
2026-07-03,Phone Stand,Accessories,2,18.65,6.75
2026-05-21,USB-C Cable,Accessories,7,15.46,5.19
2026-05-02,Phone Stand,Accessories,4,18.92,6.85
2026-03-15,Wireless Mouse,Electronics,2,25.76,11.68
2026-07-09,Wireless Mouse,Electronics,3,24.59,12.41
2026-08-28,Wireless Mouse,Electronics,7,26.44,11.62
2026-07-11,Desk Lamp,Home,1,31.56,17.12
2026-01-28,Notebook,Stationery,5,7.93,3.04
2026-05-15,Phone Stand,Accessories,3,19.26,6.98
2026-02-19,Keyboard,Electronics,6,41.96,21.91
2026-03-07,USB-C Cable,Accessories,1,15.71,5.15
2026-05-26,Water Bottle,Home,3,20.44,8.11
2026-04-14,Backpack,Bags,6,50.45,28.47
2026-02-17,USB-C Cable,Accessories,8,14.47,4.87
2026-03-08,Backpack,Bags,4,54.41,27.35
2026-03-26,Desk Lamp,Home,1,33.33,16.76
2026-03-02,Wireless Mouse,Electronics,2,24.83,11.59
2026-06-25,Headphones,Electronics,5,72.66,38.53
2026-08-29,Desk Lamp,Home,6,35.8,16.52
2026-02-04,Phone Stand,Accessories,3,17.84,7.34
2026-04-06,Backpack,Bags,8,57.83,28.85
2026-07-31,Water Bottle,Home,4,20.72,8.08
2026-07-21,Keyboard,Electronics,8,45.25,21.7
2026-08-23,Coffee Mug,Home,2,12.77,6.03
2026-05-10,Water Bottle,Home,3,18.66,8.28
2026-04-24,Keyboard,Electronics,4,46.95,21.98
2026-08-19,Headphones,Electronics,8,74.32,37.82
2026-05-12,Backpack,Bags,8,55.7,28.16
2026-06-22,Desk Lamp,Home,1,34.27,17.54
2026-07-10,Water Bottle,Home,2,18.18,7.88
2026-01-17,Headphones,Electronics,1,76.08,36.36
2026-08-28,Phone Stand,Accessories,1,17.23,6.78
2026-02-04,Backpack,Bags,6,60.42,27.67
2026-08-11,Backpack,Bags,7,50.38,29.3
2026-08-12,Headphones,Electronics,3,72.15,37.42
2026-02-15,Headphones,Electronics,7,70.4,38.87
2026-02-27,Wireless Mouse,Electronics,1,27.39,11.96
2026-07-04,Headphones,Electronics,7,70.45,39.23
2026-03-05,Phone Stand,Accessories,6,16.76,6.78
2026-08-13,Keyboard,Electronics,1,47.79,21.82
2026-07-16,Wireless Mouse,Electronics,4,23.53,11.52
2026-01-09,Phone Stand,Accessories,1,17.08,6.68
2026-04-23,Water Bottle,Home,4,21.02,8.22
2026-02-05,Headphones,Electronics,5,66.28,39.58
2026-05-28,Notebook,Stationery,6,7.58,3.11
2026-06-19,Headphones,Electronics,4,68.79,37.15
2026-05-23,Coffee Mug,Home,3,14.35,5.96
2026-05-07,Wireless Mouse,Electronics,6,27.21,12.21
2026-07-21,Headphones,Electronics,6,72.75,37.65
2026-03-18,Backpack,Bags,3,57.8,27.93
2026-08-06,Water Bottle,Home,5,21.43,7.72
2026-04-29,Wireless Mouse,Electronics,7,27.34,12.07
2026-02-04,Backpack,Bags,4,52.3,27.52
2026-01-21,Phone Stand,Accessories,6,16.53,7.16
2026-02-18,Wireless Mouse,Electronics,5,24.39,12.13
2026-01-11,Keyboard,Electronics,4,47.74,22.19
2026-06-21,Headphones,Electronics,4,69.71,39.4
2026-03-27,Desk Lamp,Home,1,32.98,16.47
2026-07-09,Keyboard,Electronics,8,48.73,22.43
2026-06-30,Water Bottle,Home,7,21.66,8.04
2026-07-18,Desk Lamp,Home,7,34.76,17.25
2026-03-20,Desk Lamp,Home,6,35.09,17.0
2026-01-26,Phone Stand,Accessories,6,19.49,6.91
2026-04-16,Wireless Mouse,Electronics,4,26.21,11.42
2026-05-22,Coffee Mug,Home,7,13.43,5.82
2026-02-28,Backpack,Bags,4,54.99,28.43
2026-06-25,Notebook,Stationery,5,8.42,3.0
2026-07-05,Phone Stand,Accessories,8,16.81,7.21
2026-02-13,USB-C Cable,Accessories,8,14.05,5.19
2026-06-14,Wireless Mouse,Electronics,1,26.7,11.49
2026-07-29,Wireless Mouse,Electronics,1,24.56,12.41
2026-03-01,Keyboard,Electronics,3,40.58,22.01
2026-04-06,Wireless Mouse,Electronics,8,25.8,11.42
2026-05-17,Headphones,Electronics,7,63.17,38.11
2026-03-12,Headphones,Electronics,5,63.24,39.19
2026-06-22,Backpack,Bags,3,50.68,26.87
2026-02-08,Water Bottle,Home,4,20.48,7.8
2026-04-01,Desk Lamp,Home,7,32.05,17.78
